Districts Search Results,,,,,,,,,,,,,,,,
Mon May 09 2022 at 3:16:26 PM,,,,,,,,,,,,,,,,
"130 results exported. Export results are limited to 11,000 records.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NCES District ID,State District ID,District Name,County Name,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Students,Teachers,Schools,Locale Code,Locale,Student Teacher Ratio,Type
5302310,WA-09206,Eastmont School District,Douglas County,800 Eastmont Ave,EAST WENATCHEE,WASHINGTON,98802,4443,(509)884-7169,6306,345.1,11,23,23-Suburb: Small,18.27,1-Regular local school district that is NOT a component of a supervisory union
5302340,WA-19028,Easton School District,Kittitas County,1893 RAILROAD ST,EASTON,WASHINGTON,98925,0008,(509)656-2317,106,13.04,2,42,42-Rural: Distant,8.13,1-Regular local school district that is NOT a component of a supervisory union
5302370,WA-27404,Eatonville School District,Pierce County,200 LYNCH ST W,EATONVILLE,WASHINGTON,98328,0698,(360)879-1000,2059,98.09,9,32,32-Town: Distant,20.99,1-Regular local school district that is NOT a component of a supervisory union
5302400,WA-31015,Edmonds School District,Snohomish County,20420 68TH AVE W,LYNNWOOD,WASHINGTON,98036,7400,(425)431-7000,21727,1134.73,38,21,21-Suburb: Large,19.15,1-Regular local school district that is NOT a component of a supervisory union
5302460,WA-19401,Ellensburg School District,Kittitas County,1300 E 3RD AVE,ELLENSBURG,WASHINGTON,98926,3576,(509)925-8000,3451,192.87,7,32,32-Town: Distant,17.89,1-Regular local school district that is NOT a component of a supervisory union
5302490,WA-14068,Elma School District,Grays Harbor County,1235 MONTE ELMA RD,ELMA,WASHINGTON,98541,9038,(360)482-2822,1602,88.32,5,32,32-Town: Distant,18.14,1-Regular local school district that is NOT a component of a supervisory union
5302550,WA-04127,Entiat School District,Chelan County,2650 ENTIAT WAY,ENTIAT,WASHINGTON,98822,9710,(509)784-1800,335,22.31,2,42,42-Rural: Distant,15.02,1-Regular local school district that is NOT a component of a supervisory union
5300001,WA-17216,Enumclaw School District,King County,2929 MCDOUGALL AVE,ENUMCLAW,WASHINGTON,98022,7499,(360)802-7100,4327,227.32,10,21,21-Suburb: Large,19.03,1-Regular local school district that is NOT a component of a supervisory union
5300314,WA-31933,Everett Community College,Snohomish County,2000 Tower Street,EVERETT,WASHINGTON,98201,    ,(425)388-9100,0,0,0,12,12-City: Mid-size,-1,8-Other education agencies
5302670,WA-31002,Everett School District,Snohomish County,3900 Broadway,EVERETT,WASHINGTON,98201,5033,(425)385-4000,21162,1103.97,33,12,12-City: Mid-size,19.17,1-Regular local school district that is NOT a component of a supervisory union
5300341,WA-34903,Evergreen State College,Thurston County,2700 Evergreen Parkway NW,Olympia,WASHINGTON,98505,    ,(360)867-6000,0,0,0,22,22-Suburb: Mid-size,-1,8-Other education agencies
5302820,WA-17210,Federal Way School District,King County,33330 8th AVE S,FEDERAL WAY,WASHINGTON,98003,5433,(253)945-2000,23289,1277.73,46,21,21-Suburb: Large,18.23,1-Regular local school district that is NOT a component of a supervisory union
5302880,WA-27417,Fife School District,Pierce County,5802 20TH ST E,TACOMA,WASHINGTON,98424,2000,(253)517-1000,3907,208.36,7,21,21-Suburb: Large,18.75,1-Regular local school district that is NOT a component of a supervisory union
